Packet_Size,Protocol,Src_Port,Dst_Port,TCP_Flags,Inter_Arrival_Time
54,6,62577,443,16,0.0009984970092773438
55,6,62708,443,16,0.0009996891021728516
1494,17,443,50640,0,0.0010175704956054688
294,17,443,50640,0,0.0029833316802978516
551,17,443,50640,0,0.0009999275207519531
88,17,50640,443,0,0.001001119613647461
90,17,50640,443,0,0.0009987354278564453
1494,17,443,50640,0,0.00099945068359375
1494,17,443,50640,0,0.0010008811950683594
1494,17,443,50640,0,0.002004861831665039
279,17,443,50640,0,0.0009996891021728516
91,17,50640,443,0,0.0010433197021484375
89,17,50640,443,0,0.001013040542602539
88,17,50640,443,0,0.0
1494,17,443,50640,0,0.0009946823120117188
1494,17,443,50640,0,0.0010046958923339844
88,17,50640,443,0,0.0
125,17,52329,443,0,0.000995635986328125
110,17,52329,443,0,0.0010001659393310547
78,17,52329,443,0,0.0009992122650146484
71,17,63888,443,0,0.0
71,17,63888,443,0,0.0009999275207519531
71,17,63888,443,0,0.001005411148071289
66,6,443,62708,16,0.0
1292,17,50640,443,0,0.0009944438934326172
579,17,50640,443,0,0.00099945068359375
995,17,443,52329,0,0.014285564422607422
163,17,443,52329,0,0.0010023117065429688
75,17,52329,443,0,0.0
75,17,52329,443,0,0.0011067390441894531
65,17,443,63888,0,0.0010116100311279297
66,17,443,52329,0,0.019994258880615234
66,17,443,63888,0,0.007000446319580078
85,17,443,50640,0,0.03225421905517578
1494,17,443,50640,0,0.06856036186218262
1494,17,443,50640,0,0.0010142326354980469
1494,17,443,50640,0,0.0009818077087402344
1494,17,443,50640,0,0.0010004043579101562
1494,17,443,50640,0,0.002000093460083008
1494,17,443,50640,0,0.0009989738464355469
1494,17,443,50640,0,0.0020003318786621094
1494,17,443,50640,0,0.002002239227294922
1494,17,443,50640,0,0.005998849868774414
1494,17,443,50640,0,0.0010073184967041016
1494,17,443,50640,0,0.0009918212890625
1494,17,443,50640,0,0.00099945068359375
1494,17,443,50640,0,0.0009996891021728516
1494,17,443,50640,0,0.0015151500701904297
88,17,50640,443,0,0.0010144710540771484
88,17,50640,443,0,0.0
88,17,50640,443,0,0.0009927749633789062
88,17,50640,443,0,0.0009999275207519531
88,17,50640,443,0,0.0010001659393310547
88,17,50640,443,0,0.0010097026824951172
88,17,50640,443,0,0.0019927024841308594
