2025-12-16 14:37:59,392 | ANOMALY | Size=143.0 | Proto=6.0 | SrcPort=62626.0 | DstPort=443.0 | IAT=0.165998
2025-12-16 14:37:59,392 | ANOMALY | Size=71.0 | Proto=17.0 | SrcPort=61002.0 | DstPort=443.0 | IAT=0.340998
2025-12-16 14:37:59,392 | ANOMALY | Size=1292.0 | Proto=17.0 | SrcPort=61002.0 | DstPort=443.0 | IAT=0.143500
2025-12-16 14:37:59,393 | ANOMALY | Size=54.0 | Proto=6.0 | SrcPort=62620.0 | DstPort=443.0 | IAT=0.172994
2025-12-16 14:37:59,393 | ANOMALY | Size=496.0 | Proto=17.0 | SrcPort=64663.0 | DstPort=443.0 | IAT=0.258986
2025-12-16 14:37:59,393 | ANOMALY | Size=66.0 | Proto=6.0 | SrcPort=62632.0 | DstPort=443.0 | IAT=0.090001
2025-12-16 14:37:59,393 | ANOMALY | Size=66.0 | Proto=6.0 | SrcPort=443.0 | DstPort=62632.0 | IAT=0.073000
2025-12-16 14:37:59,393 | ANOMALY | Size=66.0 | Proto=6.0 | SrcPort=62633.0 | DstPort=443.0 | IAT=0.053001
2025-12-16 14:37:59,394 | ANOMALY | Size=1454.0 | Proto=6.0 | SrcPort=62632.0 | DstPort=443.0 | IAT=0.021978
2025-12-16 14:37:59,394 | ANOMALY | Size=1454.0 | Proto=6.0 | SrcPort=62633.0 | DstPort=443.0 | IAT=0.032991
2025-12-16 14:37:59,395 | ANOMALY | Size=66.0 | Proto=6.0 | SrcPort=62635.0 | DstPort=443.0 | IAT=0.203992
2025-12-16 14:37:59,395 | ANOMALY | Size=66.0 | Proto=6.0 | SrcPort=443.0 | DstPort=62635.0 | IAT=0.074000
2025-12-16 14:37:59,395 | ANOMALY | Size=90.0 | Proto=6.0 | SrcPort=61954.0 | DstPort=443.0 | IAT=0.038000
2025-12-16 14:37:59,395 | ANOMALY | Size=425.0 | Proto=6.0 | SrcPort=443.0 | DstPort=62635.0 | IAT=0.036993
2025-12-16 14:37:59,396 | ANOMALY | Size=425.0 | Proto=6.0 | SrcPort=443.0 | DstPort=62635.0 | IAT=0.054016
2025-12-16 14:37:59,396 | ANOMALY | Size=309.0 | Proto=17.0 | SrcPort=61002.0 | DstPort=443.0 | IAT=0.072977
2025-12-16 14:37:59,396 | ANOMALY | Size=189.0 | Proto=6.0 | SrcPort=443.0 | DstPort=61902.0 | IAT=0.044000
2025-12-16 14:37:59,396 | ANOMALY | Size=1292.0 | Proto=17.0 | SrcPort=49582.0 | DstPort=443.0 | IAT=0.191996
2025-12-16 14:37:59,397 | ANOMALY | Size=167.0 | Proto=17.0 | SrcPort=60683.0 | DstPort=1900.0 | IAT=0.124000
2025-12-16 14:37:59,397 | ANOMALY | Size=1274.0 | Proto=17.0 | SrcPort=443.0 | DstPort=49582.0 | IAT=0.171000
2025-12-16 14:37:59,397 | ANOMALY | Size=1070.0 | Proto=6.0 | SrcPort=443.0 | DstPort=62629.0 | IAT=0.043994
2025-12-16 14:37:59,398 | ANOMALY | Size=54.0 | Proto=6.0 | SrcPort=62642.0 | DstPort=443.0 | IAT=0.079000
2025-12-16 14:37:59,398 | ANOMALY | Size=1034.0 | Proto=17.0 | SrcPort=61002.0 | DstPort=443.0 | IAT=0.063992
2025-12-16 14:37:59,398 | ANOMALY | Size=509.0 | Proto=6.0 | SrcPort=443.0 | DstPort=62438.0 | IAT=0.214993
